# timestamp	dir	opcode	enc	len	hex
09:43:15.283	IN	-36	1	47	dc00000000040005312e342e33000a756e6974792d7465737400000500000002d00002766900087265662d74657374
09:43:15.285	OUT	-36	0	2	dc01
09:43:45.673	IN	-36	1	51	dc00000000040005312e342e33000e68617264656e696e672d7465737400000500000002d00002766900087265662d74657374
09:43:45.674	OUT	-36	0	2	dc01
09:43:48.188	IN	-36	1	51	dc00000000040005312e342e33000e68617264656e696e672d7465737400000500000002d00002766900087265662d74657374
09:43:48.188	OUT	-36	0	2	dc01
09:43:48.500	IN	27	1	14	1b00000001000000000177359400
09:43:51.037	IN	-36	1	51	dc00000000040005312e342e33000e68617264656e696e672d7465737400000500000002d00002766900087265662d74657374
09:43:51.037	OUT	-36	0	2	dc01
09:43:53.551	IN	-36	1	51	dc00000000040005312e342e33000e68617264656e696e672d7465737400000500000002d00002766900087265662d74657374
09:43:53.552	OUT	-36	0	2	dc01
09:43:53.853	IN	27	1	14	1b00000001000000000100000000
09:43:56.388	IN	-36	1	51	dc00000000040005312e342e33000e68617264656e696e672d7465737400000500000002d00002766900087265662d74657374
09:43:56.388	OUT	-36	0	2	dc01
09:43:58.902	IN	-36	1	51	dc00000000040005312e342e33000e68617264656e696e672d7465737400000500000002d00002766900087265662d74657374
09:43:58.903	OUT	-36	0	2	dc01
09:43:59.207	IN	27	1	14	1b000000010000000001ffffffff
09:44:01.747	IN	-36	1	51	dc00000000040005312e342e33000e68617264656e696e672d7465737400000500000002d00002766900087265662d74657374
09:44:01.748	OUT	-36	0	2	dc01
09:44:04.268	IN	-36	1	51	dc00000000040005312e342e33000e68617264656e696e672d7465737400000500000002d00002766900087265662d74657374
09:44:04.268	OUT	-36	0	2	dc01
09:44:04.573	IN	122	1	10	7a070000000177359400
09:44:07.088	IN	-36	1	51	dc00000000040005312e342e33000e68617264656e696e672d7465737400000500000002d00002766900087265662d74657374
09:44:07.089	OUT	-36	0	2	dc01
